date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"Greensboro, NC",36.073,-79.792,CBSA,24660,"Greensboro-High Point, NC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Detroit, MI",42.331,-83.046,CBSA,19820,"Detroit-Warren-Dearborn, MI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Riverside, CA",33.953,-117.396,CBSA,40140,"Riverside-San Bernardino-Ontario, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Bend, OR",44.058,-121.315,CBSA,13460,"Bend-Redmond, OR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Portsmouth, NH",43.072,-70.763,CBSA,14460,"Boston-Cambridge-Newton, MA-NH",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Laguna Beach, CA",33.542,-117.783,CBSA,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Roanoke, VA",37.271,-79.941,CBSA,40220,"Roanoke, VA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Naples, FL",26.142,-81.795,CBSA,34940,"Naples-Immokalee-Marco Island, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Topeka, KS",39.056,-95.689,CBSA,45820,"Topeka, KS",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Knoxville, TN",35.961,-83.921,CBSA,28940,"Knoxville, TN",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Sioux Falls, SD",43.545,-96.731,CBSA,43620,"Sioux Falls, SD",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Key West, FL",24.555,-81.78,CBSA,28580,"Key West, FL",0,0,0,0,0,0,0,0,0,0,1,0
