topic,count,perc_of_state_protest,state,percentile,high_low
executive,4,0.0506,DE,0.09803921568627451,low
education,12,0.049,MD,0.5510204081632653,middle
education,21,0.0603,TN,0.7346938775510204,middle
education,14,0.0359,IN,0.3673469387755102,middle
education,15,0.0263,OH,0.14285714285714285,middle
education,33,0.0833,CT,0.8571428571428571,middle
education,10,0.0266,DC,0.16326530612244897,middle
education,27,0.0365,WA,0.3877551020408163,middle
education,38,0.0359,FL,0.3673469387755102,middle
education,12,0.0541,UT,0.6122448979591837,middle
education,96,0.0384,CA,0.4897959183673469,middle
education,7,0.0341,VT,0.2857142857142857,middle
education,13,0.0271,MN,0.20408163265306123,middle
education,17,0.0343,VA,0.30612244897959184,middle
education,21,0.0541,WI,0.6122448979591837,middle
education,10,0.0257,MO,0.12244897959183673,middle
education,28,0.0557,CO,0.6326530612244898,middle
education,11,0.0329,GA,0.22448979591836735,middle
education,26,0.027,PA,0.1836734693877551,middle
education,57,0.0379,NY,0.4489795918367347,middle
education,21,0.0349,IL,0.32653061224489793,middle
education,50,0.0681,MA,0.7959183673469388,middle
education,47,0.0777,OR,0.8163265306122449,middle
education,34,0.0376,TX,0.40816326530612246,middle
education,7,0.024,IA,0.10204081632653061,middle
education,29,0.049,NC,0.5510204081632653,middle
education,55,0.1632,AZ,0.9387755102040817,high
education,18,0.0235,MI,0.08163265306122448,low
education,6,0.039,NE,0.5102040816326531,middle
education,14,0.0586,NM,0.6938775510204082,middle
education,11,0.0675,LA,0.7755102040816326,middle
education,12,0.0606,MT,0.7551020408163265,middle
education,6,0.0202,ME,0.061224489795918366,low
education,10,0.0562,NV,0.6530612244897959,middle
education,35,0.1989,OK,0.9591836734693877,high
education,5,0.0336,AL,0.2653061224489796,middle
education,73,0.2062,KY,0.9795918367346939,high
education,1,0.0125,AR,0.02040816326530612,low
education,28,0.0503,NJ,0.5714285714285714,middle
education,8,0.0792,RI,0.8367346938775511,middle
education,11,0.0909,HI,0.8775510204081632,middle
education,13,0.1032,ID,0.8979591836734694,middle
education,6,0.0377,NH,0.42857142857142855,middle
education,5,0.0331,KS,0.24489795918367346,middle
education,11,0.0564,AK,0.673469387755102,middle
education,10,0.1149,MS,0.9183673469387755,high
education,57,0.2969,WV,1,high
education,14,0.0588,SC,0.7142857142857143,middle
education,1,0.013,WY,0.04081632653061224,low
education,3,0.038,DE,0.46938775510204084,middle
healthcare,10,0.0408,MD,0.6274509803921569,middle
healthcare,13,0.0374,TN,0.6078431372549019,middle
healthcare,20,0.0513,IN,0.7647058823529411,middle
healthcare,33,0.0579,OH,0.8627450980392157,middle
healthcare,12,0.0303,CT,0.47058823529411764,middle
healthcare,21,0.0559,DC,0.8235294117647058,middle
healthcare,10,0.0135,WA,0.13725490196078433,middle
healthcare,21,0.0198,FL,0.17647058823529413,middle
healthcare,12,0.0541,UT,0.803921568627451,middle
healthcare,50,0.02,CA,0.19607843137254902,middle
healthcare,6,0.0293,VT,0.39215686274509803,middle
healthcare,12,0.025,MN,0.2549019607843137,middle
healthcare,15,0.0303,VA,0.47058823529411764,middle
healthcare,10,0.0258,WI,0.27450980392156865,middle
healthcare,19,0.0488,MO,0.6862745098039216,middle
healthcare,25,0.0497,CO,0.7254901960784313,middle
healthcare,9,0.0269,GA,0.3333333333333333,middle
healthcare,32,0.0332,PA,0.5294117647058824,middle
healthcare,43,0.0286,NY,0.37254901960784315,middle
healthcare,16,0.0266,IL,0.3137254901960784,middle
healthcare,23,0.0313,MA,0.49019607843137253,middle
healthcare,8,0.0132,OR,0.11764705882352941,middle
healthcare,27,0.0298,TX,0.4117647058823529,middle
healthcare,20,0.0685,IA,0.9411764705882353,high
healthcare,21,0.0355,NC,0.5686274509803921,middle
healthcare,11,0.0326,AZ,0.5098039215686274,middle
healthcare,23,0.03,MI,0.43137254901960786,middle
healthcare,4,0.026,NE,0.29411764705882354,middle
healthcare,3,0.0126,NM,0.058823529411764705,low
healthcare,4,0.0245,LA,0.23529411764705882,middle
healthcare,9,0.0455,MT,0.6470588235294118,middle
healthcare,15,0.0505,ME,0.7450980392156863,middle
healthcare,5,0.0281,NV,0.35294117647058826,middle
healthcare,4,0.0227,OK,0.21568627450980393,middle
healthcare,5,0.0336,AL,0.5490196078431373,middle
healthcare,21,0.0593,KY,0.8823529411764706,middle
healthcare,7,0.0875,AR,1,high
healthcare,7,0.0126,NJ,0.058823529411764705,low
healthcare,5,0.0495,RI,0.7058823529411765,middle
healthcare,1,0.0083,HI,0.0196078431372549,low
healthcare,8,0.0635,ID,0.9019607843137255,high
healthcare,9,0.0566,NH,0.8431372549019608,middle
healthcare,10,0.0662,KS,0.9215686274509803,high
healthcare,3,0.0517,SD,0.7843137254901961,middle
healthcare,7,0.0359,AK,0.5882352941176471,middle
healthcare,4,0.046,MS,0.6666666666666666,middle
healthcare,15,0.0781,WV,0.9803921568627451,high
healthcare,4,0.0168,SC,0.1568627450980392,middle
healthcare,5,0.0769,ND,0.9607843137254902,high
healthcare,1,0.013,WY,0.09803921568627451,low
healthcare,1,0.0127,DE,0.0784313725490196,low
collective_bargaining,9,0.0367,MD,0.4166666666666667,middle
collective_bargaining,19,0.0546,TN,0.625,middle
collective_bargaining,19,0.0487,IN,0.5625,middle
collective_bargaining,37,0.0649,OH,0.7708333333333334,middle
collective_bargaining,31,0.0783,CT,0.8541666666666666,middle
collective_bargaining,12,0.0319,DC,0.375,middle
collective_bargaining,58,0.0785,WA,0.875,middle
collective_bargaining,39,0.0369,FL,0.4375,middle
